Step,Training Loss,reward,reward_std,completions / mean_length,completions / min_length,completions / max_length,completions / clipped_ratio,completions / mean_terminated_length,completions / min_terminated_length,completions / max_terminated_length,sampling / sampling_logp_difference / mean,sampling / sampling_logp_difference / max,sampling / importance_sampling_ratio / min,sampling / importance_sampling_ratio / mean,sampling / importance_sampling_ratio / max,kl,rewards / verifier_reward / mean,rewards / verifier_reward / std
5,0.031657,0.000000,0.000000,55.525000,13.600000,110.800000,0.100000,47.576192,13.600000,93.200000,0,0,0,0,0,0.380663,0.000000,0.000000
10,0.035581,0.050000,0.141421,61.125000,17.800000,120.400000,0.075000,55.726191,17.800000,104.600000,No Log,No Log,No Log,No Log,No Log,0.426838,0.050000,0.141421
15,0.096151,0.125000,0.255875,68.600000,40.000000,112.800000,0.275000,37.020239,14.400000,80.200000,No Log,No Log,No Log,No Log,No Log,0.110692,0.125000,0.255875
20,0.019714,0.100000,0.185164,61.400000,23.600000,125.600000,0.125000,52.438097,23.600000,104.200000,No Log,No Log,No Log,No Log,No Log,0.081626,0.100000,0.185164
25,0.103041,0.250000,0.359385,75.675000,31.800000,116.800000,0.150000,67.435716,31.800000,97.000000,No Log,No Log,No Log,No Log,No Log,0.061861,0.250000,0.359385
30,-0.040250,0.125000,0.244931,63.900000,29.000000,106.400000,0.125000,58.260715,29.000000,100.600000,No Log,No Log,No Log,No Log,No Log,0.033465,0.125000,0.244931
35,0.001148,0.175000,0.070711,86.475000,54.200000,119.400000,0.275000,76.089287,54.200000,105.400000,No Log,No Log,No Log,No Log,No Log,0.017593,0.175000,0.070711
40,-0.026014,0.050000,0.092582,90.575000,40.200000,127.000000,0.300000,75.010000,40.200000,117.000000,No Log,No Log,No Log,No Log,No Log,0.016623,0.050000,0.092582
45,-0.023902,0.175000,0.070711,81.300000,27.000000,128.000000,0.325000,60.476192,27.000000,108.000000,No Log,No Log,No Log,No Log,No Log,0.018227,0.175000,0.070711
50,0.023142,0.275000,0.255875,90.400000,36.000000,128.000000,0.375000,61.355001,36.000000,96.000000,No Log,No Log,No Log,No Log,No Log,0.011673,0.275000,0.255875
55,0.001001,0.000000,0.000000,101.500000,49.200000,128.000000,0.600000,49.400000,23.600000,67.400000,No Log,No Log,No Log,No Log,No Log,0.012058,0.000000,0.000000
60,0.019576,0.200000,0.185164,106.675000,63.000000,128.000000,0.575000,78.653334,63.000000,97.400000,No Log,No Log,No Log,No Log,No Log,0.011239,0.200000,0.185164
65,0.000576,0.150000,0.277746,100.550000,44.200000,128.000000,0.525000,74.727621,44.200000,105.800000,No Log,No Log,No Log,No Log,No Log,0.013902,0.150000,0.277746
70,-0.017266,0.050000,0.141421,86.950000,38.800000,123.800000,0.325000,66.998335,38.800000,95.000000,No Log,No Log,No Log,No Log,No Log,0.010538,0.050000,0.141421
75,-0.060225,0.150000,0.199487,98.550000,44.200000,128.000000,0.425000,77.095241,44.200000,104.600000,No Log,No Log,No Log,No Log,No Log,0.010475,0.150000,0.199487
80,-0.009356,0.150000,0.092582,91.025000,34.000000,128.000000,0.375000,65.365716,34.000000,102.200000,No Log,No Log,No Log,No Log,No Log,0.011520,0.150000,0.092582
85,0.007605,0.175000,0.210414,94.325000,54.800000,128.000000,0.425000,79.660954,54.800000,112.200000,No Log,No Log,No Log,No Log,No Log,0.010429,0.175000,0.210414
90,0.001063,0.000000,0.000000,97.325000,39.000000,128.000000,0.525000,71.733334,39.000000,118.600000,No Log,No Log,No Log,No Log,No Log,0.011330,0.000000,0.000000
95,0.089281,0.150000,0.174221,86.700000,36.200000,128.000000,0.275000,70.059050,36.200000,108.800000,No Log,No Log,No Log,No Log,No Log,0.009030,0.150000,0.174221
100,0.068813,0.125000,0.196092,87.300000,31.200000,128.000000,0.425000,60.463335,31.200000,106.000000,No Log,No Log,No Log,No Log,No Log,0.014692,0.125000,0.196092
105,0.012701,0.475000,0.196092,72.625000,40.200000,112.600000,0.250000,60.580953,40.200000,94.800000,No Log,No Log,No Log,No Log,No Log,0.010945,0.475000,0.196092
110,-0.032509,0.125000,0.177615,62.925000,28.000000,116.400000,0.200000,48.665477,28.000000,83.200000,No Log,No Log,No Log,No Log,No Log,0.024806,0.125000,0.177615
115,-0.010187,0.175000,0.163293,78.700000,30.000000,126.200000,0.225000,65.948335,30.000000,118.400000,No Log,No Log,No Log,No Log,No Log,0.016423,0.175000,0.163293
120,-0.044625,0.075000,0.163293,77.750000,32.600000,120.400000,0.250000,61.833335,32.600000,106.400000,No Log,No Log,No Log,No Log,No Log,0.013036,0.075000,0.163293
125,0.036182,0.050000,0.141421,95.875000,37.000000,128.000000,0.425000,69.450002,37.000000,111.800000,No Log,No Log,No Log,No Log,No Log,0.013627,0.050000,0.141421
130,0.064470,0.100000,0.174221,79.275000,32.200000,127.400000,0.250000,62.622858,32.200000,100.200000,No Log,No Log,No Log,No Log,No Log,0.011765,0.100000,0.174221
135,0.040317,0.100000,0.174221,98.200000,35.400000,128.000000,0.525000,67.916667,35.400000,104.000000,No Log,No Log,No Log,No Log,No Log,0.010908,0.100000,0.174221
140,0.000914,0.050000,0.092582,97.925000,49.200000,123.000000,0.475000,76.491667,49.200000,106.400000,No Log,No Log,No Log,No Log,No Log,0.009923,0.050000,0.092582
145,0.027210,0.150000,0.199487,79.025000,36.400000,124.200000,0.200000,67.156668,36.400000,110.200000,No Log,No Log,No Log,No Log,No Log,0.010969,0.150000,0.199487
150,0.061378,0.075000,0.163293,87.225000,35.800000,128.000000,0.300000,70.918097,35.800000,117.400000,No Log,No Log,No Log,No Log,No Log,0.010241,0.075000,0.163293
155,-0.094776,0.275000,0.310529,75.200000,31.800000,124.000000,0.300000,52.828334,31.800000,85.000000,No Log,No Log,No Log,No Log,No Log,0.017201,0.275000,0.310530
