Step,Training Loss,reward,reward_std,completions / mean_length,completions / min_length,completions / max_length,completions / clipped_ratio,completions / mean_terminated_length,completions / min_terminated_length,completions / max_terminated_length,sampling / sampling_logp_difference / mean,sampling / sampling_logp_difference / max,sampling / importance_sampling_ratio / min,sampling / importance_sampling_ratio / mean,sampling / importance_sampling_ratio / max,kl,rewards / verifier_reward / mean,rewards / verifier_reward / std
5,0.039376,0.025000,0.070711,81.975000,30.800000,126.800000,0.425000,47.766667,30.800000,80.200000,0,0,0,0,0,0.000012,0.025000,0.070711
10,-0.033918,0.150000,0.266803,88.000000,25.200000,128.000000,0.300000,71.849526,25.200000,121.800000,No Log,No Log,No Log,No Log,No Log,0.000020,0.150000,0.266803
15,-0.011278,0.150000,0.266803,95.425000,47.800000,128.000000,0.450000,56.071429,22.200000,85.000000,No Log,No Log,No Log,No Log,No Log,0.000075,0.150000,0.266803
20,-0.003811,0.325000,0.302996,80.275000,32.600000,128.000000,0.250000,64.677145,32.600000,105.400000,No Log,No Log,No Log,No Log,No Log,0.000579,0.325000,0.302996
25,0.045681,0.300000,0.266803,101.900000,59.200000,128.000000,0.500000,82.850000,59.200000,113.400000,No Log,No Log,No Log,No Log,No Log,0.000806,0.300000,0.266803
30,0.041467,0.125000,0.196092,69.250000,20.600000,128.000000,0.225000,53.919048,20.600000,98.600000,No Log,No Log,No Log,No Log,No Log,0.002073,0.125000,0.196092
35,0.055230,0.100000,0.106904,88.675000,45.200000,128.000000,0.350000,71.652383,45.200000,106.200000,No Log,No Log,No Log,No Log,No Log,0.003299,0.100000,0.106904
40,0.007166,0.025000,0.070711,68.800000,22.800000,128.000000,0.225000,52.601907,22.800000,92.000000,No Log,No Log,No Log,No Log,No Log,0.011188,0.025000,0.070711
45,-0.018519,0.150000,0.092582,61.275000,27.400000,107.400000,0.100000,56.832143,27.400000,104.600000,No Log,No Log,No Log,No Log,No Log,0.015713,0.150000,0.092582
50,-0.104926,0.175000,0.288674,78.050000,45.600000,126.400000,0.350000,42.010001,20.000000,82.400000,No Log,No Log,No Log,No Log,No Log,0.004790,0.175000,0.288674
55,0.000171,0.000000,0.000000,96.500000,33.400000,128.000000,0.575000,48.233334,33.400000,71.800000,No Log,No Log,No Log,No Log,No Log,0.001846,0.000000,0.000000
60,0.085435,0.150000,0.207020,106.275000,65.800000,128.000000,0.625000,63.550000,40.200000,86.400000,No Log,No Log,No Log,No Log,No Log,0.002168,0.150000,0.207020
65,0.031543,0.150000,0.266803,86.000000,31.800000,128.000000,0.375000,60.807621,31.800000,95.400000,No Log,No Log,No Log,No Log,No Log,0.004699,0.150000,0.266803
70,0.064621,0.150000,0.266803,83.575000,42.600000,127.200000,0.325000,62.202859,42.600000,98.800000,No Log,No Log,No Log,No Log,No Log,0.003694,0.150000,0.266803
75,0.051093,0.050000,0.141421,88.725000,31.400000,128.000000,0.425000,62.443334,31.400000,96.600000,No Log,No Log,No Log,No Log,No Log,0.004216,0.050000,0.141421
80,0.018310,0.150000,0.092582,91.300000,30.600000,128.000000,0.375000,71.570001,30.600000,111.600000,No Log,No Log,No Log,No Log,No Log,0.003877,0.150000,0.092582
85,0.044713,0.075000,0.163293,85.700000,41.000000,128.000000,0.400000,57.522858,41.000000,78.800000,No Log,No Log,No Log,No Log,No Log,0.002575,0.075000,0.163293
90,0.000335,0.000000,0.000000,93.550000,37.600000,128.000000,0.425000,68.880001,37.600000,106.800000,No Log,No Log,No Log,No Log,No Log,0.004718,0.000000,0.000000
95,-0.022614,0.125000,0.103510,91.900000,37.800000,128.000000,0.350000,75.487621,37.800000,111.400000,No Log,No Log,No Log,No Log,No Log,0.002190,0.125000,0.103510
100,-0.034542,0.250000,0.174221,92.375000,52.000000,128.000000,0.450000,72.904764,52.000000,97.600000,No Log,No Log,No Log,No Log,No Log,0.002119,0.250000,0.174221
105,-0.018802,0.450000,0.266803,89.900000,53.000000,122.400000,0.400000,72.411667,53.000000,95.800000,No Log,No Log,No Log,No Log,No Log,0.004098,0.450000,0.266803
110,0.062044,0.075000,0.163293,75.075000,22.400000,128.000000,0.325000,50.344764,22.400000,88.800000,No Log,No Log,No Log,No Log,No Log,0.005801,0.075000,0.163293
115,-0.038270,0.200000,0.141421,88.300000,44.000000,125.400000,0.275000,72.434525,44.000000,111.800000,No Log,No Log,No Log,No Log,No Log,0.005176,0.200000,0.141421
120,0.026012,0.075000,0.212132,79.000000,31.000000,123.800000,0.275000,60.800002,31.000000,114.200000,No Log,No Log,No Log,No Log,No Log,0.007015,0.075000,0.212132
125,0.000489,0.000000,0.000000,99.475000,41.200000,128.000000,0.450000,74.683812,41.200000,104.400000,No Log,No Log,No Log,No Log,No Log,0.008365,0.000000,0.000000
130,0.052693,0.075000,0.163293,91.500000,40.400000,127.400000,0.325000,72.075003,40.400000,104.400000,No Log,No Log,No Log,No Log,No Log,0.005427,0.075000,0.163293
135,0.009678,0.225000,0.163293,86.275000,46.600000,127.800000,0.275000,73.721668,46.600000,116.400000,No Log,No Log,No Log,No Log,No Log,0.006467,0.225000,0.163293
140,-0.034065,0.075000,0.163293,95.325000,47.200000,128.000000,0.450000,69.306669,47.200000,97.000000,No Log,No Log,No Log,No Log,No Log,0.003863,0.075000,0.163293
145,0.043017,0.175000,0.163293,90.125000,43.000000,128.000000,0.350000,72.409525,43.000000,105.400000,No Log,No Log,No Log,No Log,No Log,0.003236,0.175000,0.163293
150,-0.024927,0.025000,0.070711,91.700000,45.600000,128.000000,0.375000,71.019048,45.600000,104.000000,No Log,No Log,No Log,No Log,No Log,0.004840,0.025000,0.070711
155,0.088816,0.200000,0.213809,75.450000,28.000000,128.000000,0.250000,56.071432,28.000000,92.200000,No Log,No Log,No Log,No Log,No Log,0.031044,0.200000,0.213809
160,0.010435,0.275000,0.244931,92.600000,49.600000,128.000000,0.525000,43.666668,24.000000,69.600000,No Log,No Log,No Log,No Log,No Log,0.005432,0.275000,0.244931
165,-0.056234,0.150000,0.092582,97.050000,61.200000,128.000000,0.550000,54.200002,35.600000,88.600000,No Log,No Log,No Log,No Log,No Log,0.003367,0.150000,0.092582
170,-0.004004,0.100000,0.174221,79.750000,39.600000,128.000000,0.250000,63.964763,39.600000,112.400000,No Log,No Log,No Log,No Log,No Log,0.003864,0.100000,0.174221
175,0.027176,0.175000,0.210414,82.650000,29.200000,128.000000,0.375000,55.448573,29.200000,90.800000,No Log,No Log,No Log,No Log,No Log,0.006542,0.175000,0.210414
180,-0.089522,0.275000,0.288674,84.175000,46.800000,124.600000,0.250000,74.225000,46.800000,112.000000,No Log,No Log,No Log,No Log,No Log,0.008586,0.275000,0.288674
185,0.073902,0.175000,0.210414,90.425000,43.800000,128.000000,0.350000,68.386668,43.800000,98.600000,No Log,No Log,No Log,No Log,No Log,0.004716,0.175000,0.210414
190,0.005638,0.050000,0.092582,100.900000,52.800000,128.000000,0.525000,56.320000,27.200000,92.200000,No Log,No Log,No Log,No Log,No Log,0.005350,0.050000,0.092582
195,-0.045030,0.075000,0.212132,98.000000,58.600000,128.000000,0.475000,55.290002,33.000000,82.800000,No Log,No Log,No Log,No Log,No Log,0.004313,0.075000,0.212132
200,-0.022562,0.050000,0.092582,79.400000,30.200000,128.000000,0.275000,61.142858,30.200000,105.000000,No Log,No Log,No Log,No Log,No Log,0.005404,0.050000,0.092582
205,0.063669,0.250000,0.141421,90.275000,39.800000,128.000000,0.450000,61.653334,39.800000,86.600000,No Log,No Log,No Log,No Log,No Log,0.008647,0.250000,0.141421
210,0.009634,0.250000,0.277746,93.350000,47.200000,128.000000,0.275000,80.136192,47.200000,110.000000,No Log,No Log,No Log,No Log,No Log,0.006127,0.250000,0.277746
215,0.010463,0.425000,0.163293,80.375000,27.000000,128.000000,0.300000,60.385715,27.000000,110.200000,No Log,No Log,No Log,No Log,No Log,0.015993,0.425000,0.163293
220,0.057512,0.325000,0.362779,94.050000,34.600000,128.000000,0.475000,60.913335,34.600000,94.400000,No Log,No Log,No Log,No Log,No Log,0.005727,0.325000,0.362779
225,0.060518,0.225000,0.212132,96.500000,35.600000,128.000000,0.425000,75.103336,35.600000,110.200000,No Log,No Log,No Log,No Log,No Log,0.006785,0.225000,0.212132
230,0.000506,0.000000,0.000000,97.875000,60.800000,128.000000,0.400000,79.709526,60.800000,105.200000,No Log,No Log,No Log,No Log,No Log,0.005330,0.000000,0.000000
235,-0.056941,0.050000,0.092582,98.400000,45.600000,128.000000,0.450000,74.040002,45.600000,102.600000,No Log,No Log,No Log,No Log,No Log,0.006456,0.050000,0.092582
240,-0.026418,0.225000,0.196092,99.325000,55.800000,128.000000,0.500000,73.105714,55.800000,99.000000,No Log,No Log,No Log,No Log,No Log,0.005218,0.225000,0.196092
245,0.032986,0.025000,0.070711,103.400000,63.400000,128.000000,0.600000,61.600002,37.800000,75.800000,No Log,No Log,No Log,No Log,No Log,0.007658,0.025000,0.070711
250,0.006625,0.050000,0.092582,96.825000,44.400000,128.000000,0.450000,74.540000,44.400000,111.200000,No Log,No Log,No Log,No Log,No Log,0.006381,0.050000,0.092582
255,0.033206,0.225000,0.163293,80.400000,38.600000,128.000000,0.275000,62.640478,38.600000,95.000000,No Log,No Log,No Log,No Log,No Log,0.007397,0.225000,0.163293
260,0.029362,0.300000,0.106904,96.075000,57.000000,128.000000,0.375000,61.051430,31.400000,89.600000,No Log,No Log,No Log,No Log,No Log,0.007197,0.300000,0.106904
265,0.067821,0.250000,0.266803,91.400000,53.600000,128.000000,0.300000,78.528574,53.600000,106.200000,No Log,No Log,No Log,No Log,No Log,0.004773,0.250000,0.266803
270,-0.037262,0.100000,0.174221,87.975000,32.400000,128.000000,0.425000,58.576192,32.400000,101.600000,No Log,No Log,No Log,No Log,No Log,0.013093,0.100000,0.174221
275,0.000415,0.000000,0.000000,105.450000,43.800000,128.000000,0.600000,67.320000,43.800000,86.400000,No Log,No Log,No Log,No Log,No Log,0.004420,0.000000,0.000000
280,0.016766,0.050000,0.092582,90.700000,43.000000,127.000000,0.350000,71.091669,43.000000,113.400000,No Log,No Log,No Log,No Log,No Log,0.005469,0.050000,0.092582
285,-0.025774,0.100000,0.174221,74.400000,30.000000,126.600000,0.250000,57.841668,30.000000,100.600000,No Log,No Log,No Log,No Log,No Log,0.006195,0.100000,0.174221
290,-0.062193,0.200000,0.141421,67.450000,22.800000,118.400000,0.200000,54.864288,22.800000,99.800000,No Log,No Log,No Log,No Log,No Log,0.008838,0.200000,0.141421
295,0.000561,0.000000,0.000000,90.350000,47.000000,128.000000,0.375000,69.180001,47.000000,98.200000,No Log,No Log,No Log,No Log,No Log,0.005813,0.000000,0.000000
300,0.044745,0.100000,0.106904,84.950000,48.200000,128.000000,0.400000,45.000002,22.600000,72.200000,,,,,,,,
